WALIS_ID,Latitude,Longitude,Site,Subsite,Nation,Region,Type of datapoint,RSL Indicator,RSL indicator description,Elevation measurement technique,Elevation (m),Elevation error (m),Paleo water depth estimate (m),Upper limit of living range (m),Lower limit of living range (m),RWL,IR,Vertical datum,Paleo RSL (m),Paleo RSL uncertainty (m),Dating technique,Timing constraint,Originally reported ID,Analysis ID,Material_type,Reported age (ka),Reported age uncertainty (ka),U-Series recalculated age (ka),U-Series recalculate age uncertainty (ka),"U-Series corrected age (speleothems, ka)","U-Series corrected age uncertainty (speleothems, ka)",Stratigraphy Upper Age (ka),Stratigraphy Lower Age (ka),MIS limit,Marine Isotopic Stage,Quality of RSL information,Quality of age information,Reference(s),Record Created by,Last Update,Lower age,Age (ka) 0.1 perc,Age (ka) 2.3 perc,Age (ka) 15.9 perc,Age (ka) 50 perc,Age (ka) 84.1 perc,Age (ka) 97.7 perc,Age (ka) 99.5 perc,Upper age,Age calculation from,RSL (m) 0.1 perc,RSL (m) 2.3 perc,RSL (m) 15.9 perc,RSL (m) 50 perc,RSL (m) 84.1 perc,RSL (m) 97.7 perc,RSL (m) 99.5 perc
RSL_3469,26.6045,-78.4015,"Bahamas  Lucayan Caverns Grand Bahama Is
Original Sample ID: 13",Original Sample ID: 13,Bahamas,0,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,flowstones,Not reported,-15.0,3.0,,,,0.0,0.0,Not reported,0.0,0.0,U-Series,Equal to,13,LU94-001-004,Speleothem,92.6,2.45,,,,,,,,,0.0,5.0,"Lundberg and Ford, 1994
 Dumitru et al., in prep",Oana_Alexandra Dumitru,2020-12-10 15:33:28,,88.925,90.14999999999999,91.375,92.6,93.82499999999999,95.05,96.27499999999999,,Recalculation/Report,,,,,,,
RSL_3470,26.6045,-78.4015,"Bahamas  Lucayan Caverns Grand Bahama Is
Original Sample ID: y",Original Sample ID: y,Bahamas,0,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,flowstones,Not reported,-15.0,3.0,,,,0.0,0.0,Not reported,0.0,0.0,U-Series,Equal to,y,LU94-001-005,Speleothem,108.4,3.05,,,,,,,,,0.0,5.0,"Lundberg and Ford, 1994
 Dumitru et al., in prep",Oana_Alexandra Dumitru,2020-12-10 15:33:28,,103.825,105.35000000000001,106.875,108.4,109.92500000000001,111.45,112.97500000000001,,Recalculation/Report,,,,,,,
RSL_3441,32.35,-64.7,"Bermuda  Wilkinson Quarry Cave  
Original Sample ID: B1BiA",Original Sample ID: B1BiA,Bermuda,0,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,stalactite,Not reported,1.5,0.5,,,,0.0,0.0,Mean Sea Level / General definition,0.0,0.0,U-Series,Equal to,B1BiA,WA17-001-001,Speleothem,141.593,2.2155,,,141.503,2.219,,,,,0.0,5.0,"Wainer et al., 2017
 Dumitru et al., in prep",Oana_Alexandra Dumitru,2020-12-10 15:33:28,,138.1745,139.284,140.3935,141.503,142.61249999999998,143.72199999999998,144.83149999999998,,Recalculation/Report,,,,,,,
RSL_3442,32.35,-64.7,"Bermuda  Wilkinson Quarry Cave  
Original Sample ID: B1Bi7",Original Sample ID: B1Bi7,Bermuda,0,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,stalactite,Not reported,1.5,0.5,,,,0.0,0.0,Mean Sea Level / General definition,0.0,0.0,U-Series,Equal to,B1Bi7,WA17-001-002,Speleothem,140.486,1.7035,,,140.409,1.7075,,,,,0.0,5.0,"Wainer et al., 2017
 Dumitru et al., in prep",Oana_Alexandra Dumitru,2020-12-10 15:33:28,,137.84775,138.70149999999998,139.55525,140.409,141.26274999999998,142.1165,142.97025,,Recalculation/Report,,,,,,,
RSL_3443,32.35,-64.7,"Bermuda  Wilkinson Quarry Cave  
Original Sample ID: B1Cii_1",Original Sample ID: B1Cii_1,Bermuda,0,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,stalactite,Not reported,1.5,0.5,,,,0.0,0.0,Mean Sea Level / General definition,0.0,0.0,U-Series,Equal to,B1Cii_1,WA17-002-001,Speleothem,111.46799999999999,1.3465,,,139.47899999999998,2.013,,,,,0.0,5.0,"Wainer et al., 2017
 Dumitru et al., in prep",Oana_Alexandra Dumitru,2020-12-10 15:33:28,,136.4595,137.46599999999998,138.4725,139.47899999999998,140.48549999999997,141.492,142.49849999999998,,Recalculation/Report,,,,,,,
RSL_3444,32.35,-64.7,"Bermuda  Wilkinson Quarry Cave  
Original Sample ID: B1Cii_2",Original Sample ID: B1Cii_2,Bermuda,0,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,stalactite,Not reported,1.5,0.5,,,,0.0,0.0,Mean Sea Level / General definition,0.0,0.0,U-Series,Equal to,B1Cii_2,WA17-002-002,Speleothem,139.571,2.0135,,,111.389,1.3495,,,,,0.0,5.0,"Wainer et al., 2017
 Dumitru et al., in prep",Oana_Alexandra Dumitru,2020-12-10 15:33:28,,109.36475,110.03949999999999,110.71424999999999,111.389,112.06375,112.7385,113.41324999999999,,Recalculation/Report,,,,,,,
RSL_3445,32.35,-64.7,"Bermuda  Wilkinson Quarry Cave  
Original Sample ID: B3_1",Original Sample ID: B3_1,Bermuda,0,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,stalactite,Not reported,1.5,0.5,,,,0.0,0.0,Mean Sea Level / General definition,0.0,0.0,U-Series,Equal to,B3_1,WA17-003-001,Speleothem,109.991,1.19,,,109.884,1.193,,,,,0.0,5.0,"Wainer et al., 2017
 Dumitru et al., in prep",Oana_Alexandra Dumitru,2020-12-10 15:33:28,,108.0945,108.691,109.2875,109.884,110.4805,111.077,111.6735,,Recalculation/Report,,,,,,,
RSL_3446,32.35,-64.7,"Bermuda  Wilkinson Quarry Cave  
Original Sample ID: B1BiB",Original Sample ID: B1BiB,Bermuda,0,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,stalactite,Not reported,1.5,0.5,,,,0.0,0.0,Mean Sea Level / General definition,0.0,0.0,U-Series,Equal to,B1BiB,WA17-001-003,Speleothem,114.352,1.5130000000000001,,,114.245,1.514,,,,,0.0,5.0,"Wainer et al., 2017
 Dumitru et al., in prep",Oana_Alexandra Dumitru,2020-12-10 15:33:28,,111.974,112.73100000000001,113.488,114.245,115.00200000000001,115.759,116.516,,Recalculation/Report,,,,,,,
RSL_3447,32.35,-64.7,"Bermuda  Wilkinson Quarry Cave  
Original Sample ID: B1Cii5",Original Sample ID: B1Cii5,Bermuda,0,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,stalactite,Not reported,1.5,0.5,,,,0.0,0.0,Mean Sea Level / General definition,0.0,0.0,U-Series,Equal to,B1Cii5,WA17-002-003,Speleothem,91.78200000000001,0.9425,,,91.71799999999999,0.9355,,,,,0.0,5.0,"Wainer et al., 2017
 Dumitru et al., in prep",Oana_Alexandra Dumitru,2020-12-10 15:33:28,,90.31474999999999,90.78249999999998,91.25025,91.71799999999999,92.18574999999998,92.6535,93.12124999999999,,Recalculation/Report,,,,,,,
RSL_3448,32.35,-64.7,"Bermuda  Wilkinson Quarry Cave  
Original Sample ID: B1Bi6",Original Sample ID: B1Bi6,Bermuda,0,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,stalactite,Not reported,1.5,0.5,,,,0.0,0.0,Mean Sea Level / General definition,0.0,0.0,U-Series,Equal to,B1Bi6,WA17-001-004,Speleothem,89.04899999999999,0.9485,,,88.973,0.9440000000000001,,,,,0.0,5.0,"Wainer et al., 2017
 Dumitru et al., in prep",Oana_Alexandra Dumitru,2020-12-10 15:33:28,,87.557,88.029,88.501,88.973,89.445,89.917,90.389,,Recalculation/Report,,,,,,,
RSL_3449,32.35,-64.7,"Bermuda  Wilkinson Quarry Cave  
Original Sample ID: B1BiC",Original Sample ID: B1BiC,Bermuda,0,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,stalactite,Not reported,1.5,0.5,,,,0.0,0.0,Mean Sea Level / General definition,0.0,0.0,U-Series,Equal to,B1BiC,WA17-001-005,Speleothem,86.682,0.9109999999999999,,,86.601,0.9107,,,,,0.0,5.0,"Wainer et al., 2017
 Dumitru et al., in prep",Oana_Alexandra Dumitru,2020-12-10 15:33:28,,85.23495,85.6903,86.14565,86.601,87.05635,87.5117,87.96705,,Recalculation/Report,,,,,,,
RSL_3450,32.35,-64.7,"Bermuda  Wilkinson Quarry Cave  
Original Sample ID: B1Bi8",Original Sample ID: B1Bi8,Bermuda,0,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,stalactite,Not reported,1.5,0.5,,,,0.0,0.0,Mean Sea Level / General definition,0.0,0.0,U-Series,Equal to,B1Bi8,WA17-001-006,Speleothem,85.66,0.562,,,85.589,0.5625,,,,,0.0,5.0,"Wainer et al., 2017
 Dumitru et al., in prep",Oana_Alexandra Dumitru,2020-12-10 15:33:28,,84.74525,85.0265,85.30775,85.589,85.87025,86.1515,86.43275,,Recalculation/Report,,,,,,,
RSL_3451,32.35,-64.7,"Bermuda  Wilkinson Quarry Cave  
Original Sample ID: B1Bi5",Original Sample ID: B1Bi5,Bermuda,0,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,stalactite,Not reported,1.5,0.5,,,,0.0,0.0,Mean Sea Level / General definition,0.0,0.0,U-Series,Equal to,B1Bi5,WA17-001-007,Speleothem,81.536,0.8420000000000001,,,81.462,0.8325,,,,,0.0,5.0,"Wainer et al., 2017
 Dumitru et al., in prep",Oana_Alexandra Dumitru,2020-12-10 15:33:28,,80.21325,80.62950000000001,81.04575,81.462,81.87825000000001,82.2945,82.71075,,Recalculation/Report,,,,,,,
RSL_3452,32.35,-64.7,"Bermuda  Wilkinson Quarry Cave  
Original Sample ID: B1Cii6",Original Sample ID: B1Cii6,Bermuda,0,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,stalactite,Not reported,1.5,0.5,,,,0.0,0.0,Mean Sea Level / General definition,0.0,0.0,U-Series,Equal to,B1Cii6,WA17-002-004,Speleothem,80.303,0.568,,,80.23100000000001,0.569,,,,,0.0,5.0,"Wainer et al., 2017
 Dumitru et al., in prep",Oana_Alexandra Dumitru,2020-12-10 15:33:28,,79.37750000000001,79.662,79.94650000000001,80.23100000000001,80.5155,80.80000000000001,81.0845,,Recalculation/Report,,,,,,,
RSL_3453,32.35,-64.7,"Bermuda  Wilkinson Quarry Cave  
Original Sample ID: B1Cii7",Original Sample ID: B1Cii7,Bermuda,0,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,stalactite,Not reported,1.5,0.5,,,,0.0,0.0,Mean Sea Level / General definition,0.0,0.0,U-Series,Equal to,B1Cii7,WA17-002-005,Speleothem,75.12,0.898,,,75.07,0.8959999999999999,,,,,0.0,5.0,"Wainer et al., 2017
 Dumitru et al., in prep",Oana_Alexandra Dumitru,2020-12-10 15:33:28,,73.726,74.17399999999999,74.622,75.07,75.51799999999999,75.966,76.41399999999999,,Recalculation/Report,,,,,,,
RSL_3454,32.35,-64.7,"Bermuda  Wilkinson Quarry Cave  
Original Sample ID: B1Bi4",Original Sample ID: B1Bi4,Bermuda,0,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,stalactite,Not reported,1.5,0.5,,,,0.0,0.0,Mean Sea Level / General definition,0.0,0.0,U-Series,Equal to,B1Bi4,WA17-001-008,Speleothem,74.117,0.6875,,,74.03399999999999,0.6805,,,,,0.0,5.0,"Wainer et al., 2017
 Dumitru et al., in prep",Oana_Alexandra Dumitru,2020-12-10 15:33:28,,73.01324999999999,73.3535,73.69375,74.03399999999999,74.37424999999999,74.71449999999999,75.05475,,Recalculation/Report,,,,,,,
RSL_3455,32.35,-64.7,"Bermuda  Wilkinson Quarry Cave  
Original Sample ID: B1Cii4",Original Sample ID: B1Cii4,Bermuda,0,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,stalactite,Not reported,1.5,0.5,,,,0.0,0.0,Mean Sea Level / General definition,0.0,0.0,U-Series,Equal to,B1Cii4,WA17-002-005,Speleothem,73.082,0.7975,,,72.98,0.7795,,,,,0.0,5.0,"Wainer et al., 2017
 Dumitru et al., in prep",Oana_Alexandra Dumitru,2020-12-10 15:33:28,,71.81075,72.2005,72.59025,72.98,73.36975000000001,73.7595,74.14925000000001,,Recalculation/Report,,,,,,,
RSL_3456,32.35,-64.7,"Bermuda  Wilkinson Quarry Cave  
Original Sample ID: B2B",Original Sample ID: B2B,Bermuda,0,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,stalactite,Not reported,1.5,0.5,,,,0.0,0.0,Mean Sea Level / General definition,0.0,0.0,U-Series,Equal to,B2B,WA17-004-001,Speleothem,73.13,1.41,,,72.93,1.412,,,,,0.0,5.0,"Wainer et al., 2017
 Dumitru et al., in prep",Oana_Alexandra Dumitru,2020-12-10 15:33:28,,70.81200000000001,71.518,72.224,72.93,73.63600000000001,74.34200000000001,75.048,,Recalculation/Report,,,,,,,
RSL_594,32.350639,-64.71264599999999,"Bermuda Government Quarry Cave 
Original Sample ID: 73018:E",Original Sample ID: 73018:E,Bermuda,0,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,flowstones,Metered tape or rod,7.0,0.5,,,,0.0,0.0,Not reported,0.0,0.0,U-Series,Equal to,73018:E,HA78-001-001,Speleothem,,,,,162.0,14.0,,,,,0.0,5.0,"Harmon et al., 1978
 Dumitru et al., in prep",Oana_Alexandra Dumitru,2020-12-10 15:33:28,,141.0,148.0,155.0,162.0,169.0,176.0,183.0,,Recalculation/Report,,,,,,,
RSL_595,32.350639,-64.71264599999999,"Bermuda Bierman Quarry Cave 
Original Sample ID: 73023:09",Original Sample ID: 73023:09,Bermuda,0,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,flowstones,Metered tape or rod,16.0,0.5,,,,0.0,0.0,Not reported,0.0,0.0,U-Series,Equal to,73023:09,HA78-002-001,Speleothem,,,,,58.0,5.0,,,,,0.0,5.0,"Harmon et al., 1978
 Dumitru et al., in prep",Oana_Alexandra Dumitru,2020-12-10 15:33:28,,50.5,53.0,55.5,58.0,60.5,63.0,65.5,,Recalculation/Report,,,,,,,
RSL_596,32.350639,-64.71264599999999,"Bermuda Crystal Cave  
Original Sample ID: 73023:08",Original Sample ID: 73023:08,Bermuda,0,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,flowstones,Metered tape or rod,16.0,0.5,,,,0.0,0.0,Not reported,0.0,0.0,U-Series,Equal to,73023:08,HA78-002-002,Speleothem,,,,,101.0,18.0,,,,,0.0,5.0,"Harmon et al., 1978
 Dumitru et al., in prep",Oana_Alexandra Dumitru,2020-12-10 15:33:28,,74.0,83.0,92.0,101.0,110.0,119.0,128.0,,Recalculation/Report,,,,,,,
RSL_597,32.350639,-64.71264599999999,"Bermuda Crystal Cave  
Original Sample ID: 73036:11",Original Sample ID: 73036:11,Bermuda,0,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,columnar stalagmites,Metered tape or rod,-7.4,0.5,,,,0.0,0.0,Not reported,0.0,0.0,U-Series,Equal to,73036:11,HA78-003-001,Speleothem,,,,,114.0,9.0,,,,,0.0,5.0,"Harmon et al., 1978
 Dumitru et al., in prep",Oana_Alexandra Dumitru,2020-12-10 15:33:28,,100.5,105.0,109.5,114.0,118.5,123.0,127.5,,Recalculation/Report,,,,,,,
RSL_598,32.350639,-64.71264599999999,"Bermuda Crystal Cave  
Original Sample ID: 73036:10",Original Sample ID: 73036:10,Bermuda,0,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,columnar stalagmites,Metered tape or rod,-7.5,0.5,,,,0.0,0.0,Not reported,0.0,0.0,U-Series,Equal to,73036:10,HA78-003-002,Speleothem,,,,,153.0,9.0,,,,,0.0,5.0,"Harmon et al., 1978
 Dumitru et al., in prep",Oana_Alexandra Dumitru,2020-12-10 15:33:28,,139.5,144.0,148.5,153.0,157.5,162.0,166.5,,Recalculation/Report,,,,,,,
RSL_599,32.350639,-64.71264599999999,"Bermuda Crystal Cave  
Original Sample ID: 73036:12",Original Sample ID: 73036:12,Bermuda,0,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,columnar stalagmites,Metered tape or rod,-7.7,0.5,,,,0.0,0.0,Not reported,0.0,0.0,U-Series,Equal to,73036:12,HA78-003-003,Speleothem,,,,,168.0,18.0,,,,,0.0,5.0,"Harmon et al., 1978
 Dumitru et al., in prep",Oana_Alexandra Dumitru,2020-12-10 15:33:28,,141.0,150.0,159.0,168.0,177.0,186.0,195.0,,Recalculation/Report,,,,,,,
RSL_600,32.350639,-64.71264599999999,"Bermuda Crystal Cave  
Original Sample ID: 73036:13",Original Sample ID: 73036:13,Bermuda,0,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,columnar stalagmites,Metered tape or rod,-7.8,0.5,,,,0.0,0.0,Not reported,0.0,0.0,U-Series,Equal to,73036:13,HA78-003-004,Speleothem,,,,,179.0,14.0,,,,,0.0,5.0,"Harmon et al., 1978
 Dumitru et al., in prep",Oana_Alexandra Dumitru,2020-12-10 15:33:28,,158.0,165.0,172.0,179.0,186.0,193.0,200.0,,Recalculation/Report,,,,,,,
RSL_601,32.350639,-64.71264599999999,"Bermuda Crystal Cave  
Original Sample ID: 73036:09",Original Sample ID: 73036:09,Bermuda,0,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,columnar stalagmites,Metered tape or rod,-8.0,0.5,,,,0.0,0.0,Not reported,0.0,0.0,U-Series,Equal to,73036:09,HA78-003-005,Speleothem,,,,,195.0,20.0,,,,,0.0,5.0,"Harmon et al., 1978
 Dumitru et al., in prep",Oana_Alexandra Dumitru,2020-12-10 15:33:28,,165.0,175.0,185.0,195.0,205.0,215.0,225.0,,Recalculation/Report,,,,,,,
RSL_602,32.350639,-64.71264599999999,"Bermuda Crystal Cave  
Original Sample ID: 73037:08",Original Sample ID: 73037:08,Bermuda,0,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,a pair of stalagtites,Metered tape or rod,3.5,0.5,,,,0.0,0.0,Not reported,0.0,0.0,U-Series,Equal to,73037:08,HA78-004-001,Speleothem,,,,,110.0,14.0,,,,,0.0,5.0,"Harmon et al., 1978
 Dumitru et al., in prep",Oana_Alexandra Dumitru,2020-12-10 15:33:28,,89.0,96.0,103.0,110.0,117.0,124.0,131.0,,Recalculation/Report,,,,,,,
RSL_603,32.350639,-64.71264599999999,"Bermuda Crystal Cave  
Original Sample ID: 73037:06",Original Sample ID: 73037:06,Bermuda,0,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,a pair of stalagtites,Metered tape or rod,3.5,0.5,,,,0.0,0.0,Not reported,0.0,0.0,U-Series,Equal to,73037:06,HA78-004-002,Speleothem,,,,,130.0,11.0,,,,,0.0,5.0,"Harmon et al., 1978
 Dumitru et al., in prep",Oana_Alexandra Dumitru,2020-12-10 15:33:28,,113.5,119.0,124.5,130.0,135.5,141.0,146.5,,Recalculation/Report,,,,,,,
