WALIS_ID,Latitude,Longitude,Site,Subsite,Nation,Region,Type of datapoint,RSL Indicator,RSL indicator description,Elevation measurement technique,Elevation (m),Elevation error (m),Paleo water depth estimate (m),Upper limit of living range (m),Lower limit of living range (m),RWL,IR,Vertical datum,Paleo RSL (m),Paleo RSL uncertainty (m),Dating technique,Timing constraint,Originally reported ID,Analysis ID,Material_type,Reported age (ka),Reported age uncertainty (ka),U-Series recalculated age (ka),U-Series recalculate age uncertainty (ka),"U-Series corrected age (speleothems, ka)","U-Series corrected age uncertainty (speleothems, ka)",Stratigraphy Upper Age (ka),Stratigraphy Lower Age (ka),MIS limit,Marine Isotopic Stage,Quality of RSL information,Quality of age information,Reference(s),Record Created by,Last Update,Lower age,Age (ka) 0.1 perc,Age (ka) 2.3 perc,Age (ka) 15.9 perc,Age (ka) 50 perc,Age (ka) 84.1 perc,Age (ka) 97.7 perc,Age (ka) 99.5 perc,Upper age,Age calculation from,Lower RSL,RSL (m) 0.1 perc,RSL (m) 2.3 perc,RSL (m) 15.9 perc,RSL (m) 50 perc,RSL (m) 84.1 perc,RSL (m) 97.7 perc,RSL (m) 99.5 perc,Upper RSL
RSL_558,-20.015275,-158.094275,"Atiu
upper unit",upper unit,Cook Islands,Not Available,Sea Level Indicator,Coral reef terrace (general definition),,Total station or Auto/hand level,6.5,3.5,,,,-9.25,18.5,Mean Low Tide (MLT),15.75,9.89002022242624,U-Series,Equal to,AT9,WO91-002-002,Coral,151.0,12.0,,,,,,,,,1.0,2.0,"Woodroffe et al., 1991",Nadine Hallmann,2020-08-21 14:12:24,,133.0,139.0,145.0,151.0,157.0,163.0,169.0,,Recalculation/Report,,-13.920060667278722,-4.030040444852482,5.859979777573759,15.75,25.64002022242624,35.53004044485248,45.42006066727872,
RSL_559,-19.967678,-158.115081,"Atiu
cliff top",cliff top,Cook Islands,Not Available,Sea Level Indicator,Coral reef terrace (general definition),,Total station or Auto/hand level,11.0,1.0,,,,-15.0,30.0,Mean Low Tide (MLT),26.0,15.033296378372908,U-Series,Equal to,AT11,WO91-003-001,Coral,111.0,6.0,,,,,,,,,1.0,2.0,"Woodroffe et al., 1991",Nadine Hallmann,2020-08-21 14:12:48,,102.0,105.0,108.0,111.0,114.0,117.0,120.0,,Recalculation/Report,,-19.099889135118723,-4.066592756745816,10.966703621627092,26.0,41.03329637837291,56.06659275674582,71.09988913511873,
RSL_559,-19.967678,-158.115081,"Atiu
cliff top",cliff top,Cook Islands,Not Available,Sea Level Indicator,Coral reef terrace (general definition),,Total station or Auto/hand level,11.0,1.0,,,,-15.0,30.0,Mean Low Tide (MLT),26.0,15.033296378372908,U-Series,Equal to,AT11,WO91-003-002,Coral,113.0,9.0,,,,,,,,,1.0,2.0,"Woodroffe et al., 1991",Nadine Hallmann,2020-08-21 14:12:48,,99.5,104.0,108.5,113.0,117.5,122.0,126.5,,Recalculation/Report,,-19.099889135118723,-4.066592756745816,10.966703621627092,26.0,41.03329637837291,56.06659275674582,71.09988913511873,
RSL_560,-20.185664000000003,-157.333658,"Mauke
reef block",reef block,Cook Islands,Not Available,Sea Level Indicator,Coral reef terrace (general definition),,Total station or Auto/hand level,7.5,1.0,,,,-9.25,18.5,Mean Low Tide (MLT),16.75,9.303897032964198,U-Series,Equal to,MK9,WO91-004-001,Coral,136.0,10.0,,,,,,,,,1.0,2.0,"Woodroffe et al., 1991",Nadine Hallmann,2020-08-21 14:13:01,,121.0,126.0,131.0,136.0,141.0,146.0,151.0,,Recalculation/Report,,-11.161691098892593,-1.8577940659283954,7.446102967035802,16.75,26.053897032964198,35.357794065928395,44.66169109889259,
RSL_560,-20.185664000000003,-157.333658,"Mauke
reef block",reef block,Cook Islands,Not Available,Sea Level Indicator,Coral reef terrace (general definition),,Total station or Auto/hand level,7.5,1.0,,,,-9.25,18.5,Mean Low Tide (MLT),16.75,9.303897032964198,U-Series,Equal to,MK9,WO91-004-002,Coral,138.0,10.0,,,,,,,,,1.0,2.0,"Woodroffe et al., 1991",Nadine Hallmann,2020-08-21 14:13:01,,123.0,128.0,133.0,138.0,143.0,148.0,153.0,,Recalculation/Report,,-11.161691098892593,-1.8577940659283954,7.446102967035802,16.75,26.053897032964198,35.357794065928395,44.66169109889259,
RSL_561,-20.147369,-157.35949399999998,"Mauke
upper unit",upper unit,Cook Islands,Not Available,Sea Level Indicator,Coral reef terrace (general definition),,Total station or Auto/hand level,4.0,2.0,,,,-9.25,18.5,Mean Low Tide (MLT),13.25,9.46374661537385,U-Series,Equal to,MK15,WO91-005-001,Coral,123.0,8.0,,,,,,,,,1.0,2.0,"Woodroffe et al., 1991",Nadine Hallmann,2020-08-21 14:13:12,,111.0,115.0,119.0,123.0,127.0,131.0,135.0,,Recalculation/Report,,-15.14123984612155,-5.6774932307477,3.78625338462615,13.25,22.71374661537385,32.1774932307477,41.64123984612155,
RSL_561,-20.147369,-157.35949399999998,"Mauke
upper unit",upper unit,Cook Islands,Not Available,Sea Level Indicator,Coral reef terrace (general definition),,Total station or Auto/hand level,4.0,2.0,,,,-9.25,18.5,Mean Low Tide (MLT),13.25,9.46374661537385,U-Series,Equal to,MK15,WO91-005-002,Coral,138.0,12.0,,,,,,,,,1.0,2.0,"Woodroffe et al., 1991",Nadine Hallmann,2020-08-21 14:13:12,,120.0,126.0,132.0,138.0,144.0,150.0,156.0,,Recalculation/Report,,-15.14123984612155,-5.6774932307477,3.78625338462615,13.25,22.71374661537385,32.1774932307477,41.64123984612155,
RSL_561,-20.147369,-157.35949399999998,"Mauke
upper unit",upper unit,Cook Islands,Not Available,Sea Level Indicator,Coral reef terrace (general definition),,Total station or Auto/hand level,4.0,2.0,,,,-9.25,18.5,Mean Low Tide (MLT),13.25,9.46374661537385,U-Series,Equal to,MK16,WO91-006-001,Coral,136.0,11.0,,,,,,,,,1.0,2.0,"Woodroffe et al., 1991",Nadine Hallmann,2020-08-21 14:13:12,,119.5,125.0,130.5,136.0,141.5,147.0,152.5,,Recalculation/Report,,-15.14123984612155,-5.6774932307477,3.78625338462615,13.25,22.71374661537385,32.1774932307477,41.64123984612155,
RSL_561,-20.147369,-157.35949399999998,"Mauke
upper unit",upper unit,Cook Islands,Not Available,Sea Level Indicator,Coral reef terrace (general definition),,Total station or Auto/hand level,4.0,2.0,,,,-9.25,18.5,Mean Low Tide (MLT),13.25,9.46374661537385,U-Series,Equal to,MK16,WO91-006-002,Coral,145.0,10.0,,,,,,,,,1.0,2.0,"Woodroffe et al., 1991",Nadine Hallmann,2020-08-21 14:13:12,,130.0,135.0,140.0,145.0,150.0,155.0,160.0,,Recalculation/Report,,-15.14123984612155,-5.6774932307477,3.78625338462615,13.25,22.71374661537385,32.1774932307477,41.64123984612155,
RSL_561,-20.147369,-157.35949399999998,"Mauke
upper unit",upper unit,Cook Islands,Not Available,Sea Level Indicator,Coral reef terrace (general definition),,Total station or Auto/hand level,4.0,2.0,,,,-9.25,18.5,Mean Low Tide (MLT),13.25,9.46374661537385,U-Series,Equal to,MK18,WO91-007-001,Coral,119.0,8.0,,,,,,,,,1.0,2.0,"Woodroffe et al., 1991",Nadine Hallmann,2020-08-21 14:13:12,,107.0,111.0,115.0,119.0,123.0,127.0,131.0,,Recalculation/Report,,-15.14123984612155,-5.6774932307477,3.78625338462615,13.25,22.71374661537385,32.1774932307477,41.64123984612155,
RSL_561,-20.147369,-157.35949399999998,"Mauke
upper unit",upper unit,Cook Islands,Not Available,Sea Level Indicator,Coral reef terrace (general definition),,Total station or Auto/hand level,4.0,2.0,,,,-9.25,18.5,Mean Low Tide (MLT),13.25,9.46374661537385,U-Series,Equal to,MK18,WO91-007-002,Coral,119.0,7.0,,,,,,,,,1.0,2.0,"Woodroffe et al., 1991",Nadine Hallmann,2020-08-21 14:13:12,,108.5,112.0,115.5,119.0,122.5,126.0,129.5,,Recalculation/Report,,-15.14123984612155,-5.6774932307477,3.78625338462615,13.25,22.71374661537385,32.1774932307477,41.64123984612155,
RSL_580,-19.888164,-157.687631,"Mitiaro
Te Unu",Te Unu,Cook Islands,Not Available,Sea Level Indicator,Coral reef terrace (general definition),,Total station or Auto/hand level,6.5,2.5,,,,-15.0,30.0,Mean Low Tide (MLT),21.5,15.20690632574555,U-Series,Equal to,MT1,WO91-008-001,Coral,128.0,6.0,,,,,,,,,1.0,2.0,"Woodroffe et al., 1991",Nadine Hallmann,2020-08-21 14:13:39,,119.0,122.0,125.0,128.0,131.0,134.0,137.0,,Recalculation/Report,,-24.12071897723665,-8.9138126514911,6.29309367425445,21.5,36.70690632574555,51.9138126514911,67.12071897723665,
RSL_580,-19.888164,-157.687631,"Mitiaro
Te Unu",Te Unu,Cook Islands,Not Available,Sea Level Indicator,Coral reef terrace (general definition),,Total station or Auto/hand level,6.5,2.5,,,,-15.0,30.0,Mean Low Tide (MLT),21.5,15.20690632574555,U-Series,Equal to,MT1,WO91-008-002,Coral,140.0,10.0,,,,,,,,,1.0,2.0,"Woodroffe et al., 1991",Nadine Hallmann,2020-08-21 14:13:39,,125.0,130.0,135.0,140.0,145.0,150.0,155.0,,Recalculation/Report,,-24.12071897723665,-8.9138126514911,6.29309367425445,21.5,36.70690632574555,51.9138126514911,67.12071897723665,
RSL_580,-19.888164,-157.687631,"Mitiaro
Te Unu",Te Unu,Cook Islands,Not Available,Sea Level Indicator,Coral reef terrace (general definition),,Total station or Auto/hand level,6.5,2.5,,,,-15.0,30.0,Mean Low Tide (MLT),21.5,15.20690632574555,U-Series,Equal to,MT1,WO91-008-003,Coral,98.1,5.4,,,,,,,,,1.0,2.0,"Woodroffe et al., 1991",Nadine Hallmann,2020-08-21 14:13:39,,90.0,92.69999999999999,95.39999999999999,98.1,100.8,103.5,106.19999999999999,,Recalculation/Report,,-24.12071897723665,-8.9138126514911,6.29309367425445,21.5,36.70690632574555,51.9138126514911,67.12071897723665,
RSL_580,-19.888164,-157.687631,"Mitiaro
Te Unu",Te Unu,Cook Islands,Not Available,Sea Level Indicator,Coral reef terrace (general definition),,Total station or Auto/hand level,6.5,2.5,,,,-15.0,30.0,Mean Low Tide (MLT),21.5,15.20690632574555,U-Series,Equal to,MT2,WO91-009-001,Coral,112.0,7.0,,,,,,,,,1.0,2.0,"Woodroffe et al., 1991",Nadine Hallmann,2020-08-21 14:13:39,,101.5,105.0,108.5,112.0,115.5,119.0,122.5,,Recalculation/Report,,-24.12071897723665,-8.9138126514911,6.29309367425445,21.5,36.70690632574555,51.9138126514911,67.12071897723665,
RSL_580,-19.888164,-157.687631,"Mitiaro
Te Unu",Te Unu,Cook Islands,Not Available,Sea Level Indicator,Coral reef terrace (general definition),,Total station or Auto/hand level,6.5,2.5,,,,-15.0,30.0,Mean Low Tide (MLT),21.5,15.20690632574555,U-Series,Equal to,MT2,WO91-009-002,Coral,132.0,9.0,,,,,,,,,1.0,2.0,"Woodroffe et al., 1991",Nadine Hallmann,2020-08-21 14:13:39,,118.5,123.0,127.5,132.0,136.5,141.0,145.5,,Recalculation/Report,,-24.12071897723665,-8.9138126514911,6.29309367425445,21.5,36.70690632574555,51.9138126514911,67.12071897723665,
RSL_581,-19.844881,-157.691686,"Mitiaro
North coast",North coast,Cook Islands,Not Available,Sea Level Indicator,Coral reef terrace (general definition),,Total station or Auto/hand level,6.5,2.5,,,,-5.0,10.0,Mean Low Tide (MLT),11.5,5.5901699437494745,U-Series,Equal to,MT9,WO91-010-001,Coral,120.0,6.0,,,,,,,,,2.0,2.0,"Woodroffe et al., 1991",Nadine Hallmann,2020-08-21 14:14:04,,111.0,114.0,117.0,120.0,123.0,126.0,129.0,,Recalculation/Report,,-5.270509831248425,0.319660112501051,5.9098300562505255,11.5,17.090169943749473,22.68033988749895,28.270509831248425,
RSL_581,-19.844881,-157.691686,"Mitiaro
North coast",North coast,Cook Islands,Not Available,Sea Level Indicator,Coral reef terrace (general definition),,Total station or Auto/hand level,6.5,2.5,,,,-5.0,10.0,Mean Low Tide (MLT),11.5,5.5901699437494745,U-Series,Equal to,MT9,WO91-010-002,Coral,132.0,9.0,,,,,,,,,2.0,2.0,"Woodroffe et al., 1991",Nadine Hallmann,2020-08-21 14:14:04,,118.5,123.0,127.5,132.0,136.5,141.0,145.5,,Recalculation/Report,,-5.270509831248425,0.319660112501051,5.9098300562505255,11.5,17.090169943749473,22.68033988749895,28.270509831248425,
RSL_582,-19.8653,-157.722331,"Mitiaro
village",village,Cook Islands,Not Available,Sea Level Indicator,Coral reef terrace (general definition),,Total station or Auto/hand level,5.5,3.5,,,,-9.25,18.5,Mean Low Tide (MLT),14.75,9.89002022242624,U-Series,Equal to,MT13,WO91-011-001,Coral,116.0,8.0,,,,,,,,,1.0,2.0,"Woodroffe et al., 1991",Nadine Hallmann,2020-08-21 14:14:25,,104.0,108.0,112.0,116.0,120.0,124.0,128.0,,Recalculation/Report,,-14.920060667278722,-5.030040444852482,4.859979777573759,14.75,24.64002022242624,34.53004044485248,44.42006066727872,
RSL_582,-19.8653,-157.722331,"Mitiaro
village",village,Cook Islands,Not Available,Sea Level Indicator,Coral reef terrace (general definition),,Total station or Auto/hand level,5.5,3.5,,,,-9.25,18.5,Mean Low Tide (MLT),14.75,9.89002022242624,U-Series,Equal to,MT13,WO91-011-002,Coral,144.0,9.0,,,,,,,,,1.0,2.0,"Woodroffe et al., 1991",Nadine Hallmann,2020-08-21 14:14:25,,130.5,135.0,139.5,144.0,148.5,153.0,157.5,,Recalculation/Report,,-14.920060667278722,-5.030040444852482,4.859979777573759,14.75,24.64002022242624,34.53004044485248,44.42006066727872,
RSL_582,-19.8653,-157.722331,"Mitiaro
village",village,Cook Islands,Not Available,Sea Level Indicator,Coral reef terrace (general definition),,Total station or Auto/hand level,5.5,3.5,,,,-9.25,18.5,Mean Low Tide (MLT),14.75,9.89002022242624,U-Series,Equal to,MT13,WO91-011-003,Coral,106.3,5.4,,,,,,,,,1.0,2.0,"Woodroffe et al., 1991",Nadine Hallmann,2020-08-21 14:14:25,,98.19999999999999,100.89999999999999,103.6,106.3,109.0,111.7,114.4,,Recalculation/Report,,-14.920060667278722,-5.030040444852482,4.859979777573759,14.75,24.64002022242624,34.53004044485248,44.42006066727872,
RSL_583,-19.846542000000003,-157.720461,"Mitiaro
Vaikoua",Vaikoua,Cook Islands,Not Available,Sea Level Indicator,Coral reef terrace (general definition),,Total station or Auto/hand level,4.0,1.0,,,,-9.25,18.5,Mean Low Tide (MLT),13.25,9.303897032964198,U-Series,Equal to,MT15,WO91-012-001,Coral,118.0,7.0,,,,,,,,,1.0,3.0,"Woodroffe et al., 1991",Nadine Hallmann,2020-08-21 14:15:02,,107.5,111.0,114.5,118.0,121.5,125.0,128.5,,Recalculation/Report,,-14.661691098892593,-5.357794065928395,3.9461029670358023,13.25,22.553897032964198,31.857794065928395,41.16169109889259,
RSL_583,-19.846542000000003,-157.720461,"Mitiaro
Vaikoua",Vaikoua,Cook Islands,Not Available,Sea Level Indicator,Coral reef terrace (general definition),,Total station or Auto/hand level,4.0,1.0,,,,-9.25,18.5,Mean Low Tide (MLT),13.25,9.303897032964198,U-Series,Equal to,MT15,WO91-012-002,Coral,118.0,7.0,,,,,,,,,1.0,3.0,"Woodroffe et al., 1991",Nadine Hallmann,2020-08-21 14:15:02,,107.5,111.0,114.5,118.0,121.5,125.0,128.5,,Recalculation/Report,,-14.661691098892593,-5.357794065928395,3.9461029670358023,13.25,22.553897032964198,31.857794065928395,41.16169109889259,
RSL_584,-21.928528,-157.919669,"Mangaia
",,Cook Islands,Not Available,Sea Level Indicator,Coral reef terrace (general definition),,Total station or Auto/hand level,13.0,2.0,,,,-9.25,18.5,Mean Low Tide (MLT),22.25,9.46374661537385,U-Series,Equal to,M2,SP88-001-001,Coral,118.0,12.0,,,,,,,,,1.0,2.0,"Spencer et al., 1988",Nadine Hallmann,2020-08-21 14:15:32,,100.0,106.0,112.0,118.0,124.0,130.0,136.0,,Recalculation/Report,,-6.14123984612155,3.3225067692523,12.78625338462615,22.25,31.71374661537385,41.1774932307477,50.64123984612155,
RSL_584,-21.928528,-157.919669,"Mangaia
",,Cook Islands,Not Available,Sea Level Indicator,Coral reef terrace (general definition),,Total station or Auto/hand level,13.0,2.0,,,,-9.25,18.5,Mean Low Tide (MLT),22.25,9.46374661537385,U-Series,Equal to,M3,SP88-002-001,Coral,107.0,18.0,,,,,,,,,1.0,2.0,"Spencer et al., 1988",Nadine Hallmann,2020-08-21 14:15:32,,80.0,89.0,98.0,107.0,116.0,125.0,134.0,,Recalculation/Report,,-6.14123984612155,3.3225067692523,12.78625338462615,22.25,31.71374661537385,41.1774932307477,50.64123984612155,
RSL_584,-21.928528,-157.919669,"Mangaia
",,Cook Islands,Not Available,Sea Level Indicator,Coral reef terrace (general definition),,Total station or Auto/hand level,13.0,2.0,,,,-9.25,18.5,Mean Low Tide (MLT),22.25,9.46374661537385,U-Series,Equal to,M54,SP88-004-001,Coral,135.0,15.0,,,,,,,,,1.0,2.0,"Spencer et al., 1988",Nadine Hallmann,2020-08-21 14:15:32,,112.5,120.0,127.5,135.0,142.5,150.0,157.5,,Recalculation/Report,,-6.14123984612155,3.3225067692523,12.78625338462615,22.25,31.71374661537385,41.1774932307477,50.64123984612155,
RSL_585,-21.927997,-157.919956,"Mangaia
Veeh",Veeh,Cook Islands,Not Available,Sea Level Indicator,Coral reef terrace (general definition),,Total station or Auto/hand level,2.0,0.5,,,,-5.75,3.5,Mean Low Water Springs (MLWS),7.75,1.8200274723201295,U-Series,Equal to,MANG 1,VE66-012-001,Coral,90.0,20.0,,,,,,,,,4.0,2.0,"Veeh, 1966",Nadine Hallmann,2020-08-21 14:16:13,,60.0,70.0,80.0,90.0,100.0,110.0,120.0,,Recalculation/Report,,2.2899175830396112,4.109945055359741,5.929972527679871,7.75,9.57002747232013,11.390054944640259,13.21008241696039,
RSL_585,-21.927997,-157.919956,"Mangaia
Veeh",Veeh,Cook Islands,Not Available,Sea Level Indicator,Coral reef terrace (general definition),,Total station or Auto/hand level,2.0,0.5,,,,-5.75,3.5,Mean Low Water Springs (MLWS),7.75,1.8200274723201295,U-Series,Equal to,MANG 2,VE66-013-001,Coral,110.0,20.0,,,,,,,,,4.0,2.0,"Veeh, 1966",Nadine Hallmann,2020-08-21 14:16:13,,80.0,90.0,100.0,110.0,120.0,130.0,140.0,,Recalculation/Report,,2.2899175830396112,4.109945055359741,5.929972527679871,7.75,9.57002747232013,11.390054944640259,13.21008241696039,
RSL_586,-10.855258000000001,-165.844111,"Pukapuka
",,Cook Islands,Not Available,Sea Level Indicator,Coral reef terrace (general definition),,Total station or Auto/hand level,-23.0,2.0,,,,-9.25,18.5,Mean Sea Level / General definition,-13.75,9.46374661537385,U-Series,Equal to,951,GR92-003-001,Coral,130.1,8.9,,,,,,,,,1.0,2.0,"Gray et al., 1992",Nadine Hallmann,2020-08-21 14:16:34,,116.75,121.19999999999999,125.64999999999999,130.1,134.54999999999998,139.0,143.45,,Recalculation/Report,,-42.14123984612155,-32.6774932307477,-23.21374661537385,-13.75,-4.28625338462615,5.1774932307477,14.64123984612155,
