WALIS_ID,Latitude,Longitude,Site,Subsite,Nation,Region,Type of datapoint,RSL Indicator,RSL indicator description,Elevation measurement technique,Elevation (m),Elevation error (m),Paleo water depth estimate (m),Upper limit of living range (m),Lower limit of living range (m),RWL,IR,Vertical datum,Paleo RSL (m),Paleo RSL uncertainty (m),Dating technique,Timing constraint,Originally reported ID,Analysis ID,Material_type,Reported age (ka),Reported age uncertainty (ka),U-Series recalculated age (ka),U-Series recalculate age uncertainty (ka),"U-Series corrected age (speleothems, ka)","U-Series corrected age uncertainty (speleothems, ka)",Stratigraphy Upper Age (ka),Stratigraphy Lower Age (ka),MIS limit,Marine Isotopic Stage,Quality of RSL information,Quality of age information,Reference(s),Record Created by,Last Update,Lower age,Age (ka) 0.1 perc,Age (ka) 2.3 perc,Age (ka) 15.9 perc,Age (ka) 50 perc,Age (ka) 84.1 perc,Age (ka) 97.7 perc,Age (ka) 99.5 perc,Upper age,Age_mu,Age_2s,Age calculation from,RSL (m) 0.1 perc,RSL (m) 2.3 perc,RSL (m) 15.9 perc,RSL (m) 50 perc,RSL (m) 84.1 perc,RSL (m) 97.7 perc,RSL (m) 99.5 perc
RSL_9,36.798089,2.902117,"Ain Benian
Transect AT5",Transect AT5,Algeria,Tipaza,Sea Level Indicator,Marine Terrace,Beach deposits with shells are found on the terrace surface.,Barometric altimeter,8,3,,,,0.01,2.21,Mean Sea Level / General definition,7.99,3.197033781,Stratigraphic constraint,Equal to,Tipaza Eemian Terrace,,,,,,,,,168,98,Equal to,MIS 5,2,1,"Authemayou et al., 2017
 Saoudi, 1989
 Stearns and Thurber, 1965",Alessio Rovere,4/24/2020 17:38,98,98.07,99.61,109.13,133,156.87,166.39,167.65,168,,,Stratigraphic constraint,-1.601101344,1.595932437,4.792966219,7.99,11.18703378,14.38406756,17.58110134
RSL_370,-12.620277,13.243611,"Benguela 
Near Site Benguela A (Walker et al. 2016)",Near Site Benguela A (Walker et al. 2016),Angola,Benguela,Sea Level Indicator,Lagoonal deposit,The dated shells are from a sandy deposit interpreted as lagoonal from the faunal content,Not reported,11,1,,,,-0.5,3,Mean Sea Level / General definition,11.5,1.802775638,U-Series,Equal to,AN57-1,GI84-001-001,Mollusk or algae,,,,,,,130,71,Equal to,MIS 5,2,1,"Giresse et al., 1984",Andrew Cooper,4/8/2020 5:16,71,71.059,72.357,80.381,100.5,120.619,128.643,129.705,130,,,Stratigraphic constraint,6.091673087,7.894448725,9.697224362,11.5,13.30277564,15.10555128,16.90832691
RSL_371,-12.620277,13.243611,"Benguela
Near Site Benguela A (Walker et al. 2016)",Near Site Benguela A (Walker et al. 2016),Angola,Benguela,Sea Level Indicator,Lagoonal deposit,Shell from a lagoonal assemblage ,Not reported,11,1,,,,-0.5,3,Mean Sea Level / General definition,11.5,1.802775638,U-Series,Equal to,AN57-2,GI84-00-001,Mollusk or algae,,,,,,,130,71,Equal to,MIS 5,1,2,"Giresse et al., 1984",Andrew Cooper,4/8/2020 5:16,71,71.059,72.357,80.381,100.5,120.619,128.643,129.705,130,,,Stratigraphic constraint,6.091673087,7.894448725,9.697224362,11.5,13.30277564,15.10555128,16.90832691
RSL_372,-15.133055,12.154722,"Mossamedes
",,Angola,Namibe,Sea Level Indicator,Beach deposit or beachrock,Beach deposit on marine terrace,Not reported,15,1,,,,0,4,Mean Sea Level / General definition,15,2.236067977,U-Series,Equal to,AN40-2,GI84-003-001,Mollusk or algae,,,,,,,130,71,Equal to,MIS 5,1,1,"Giresse et al., 1984",Andrew Cooper,4/8/2020 5:16,71,71.059,72.357,80.381,100.5,120.619,128.643,129.705,130,,,Stratigraphic constraint,8.291796068,10.52786405,12.76393202,15,17.23606798,19.47213595,21.70820393
RSL_373,-12.61,13.365,"Benguela
Benguela A",Benguela A,Angola,Benguela,Sea Level Indicator,Lagoonal deposit,,Not reported,25,1,,,,-0.5,3,Mean Sea Level / General definition,25.5,1.802775638,Luminescence,Equal to,BNG10-6,WA16-001-001,OSL,57.8,11.2,,,,,57,29,Equal to,MIS 3,3,4,"Walker et al., 2016",Andrew Cooper,4/8/2020 5:16,,41,46.6,52.2,57.8,63.4,69,74.6,,57.8,11.2,Recalculation/Report,20.09167309,21.89444872,23.69722436,25.5,27.30277564,29.10555128,30.90832691
RSL_373,-12.61,13.365,"Benguela
Benguela A",Benguela A,Angola,Benguela,Sea Level Indicator,Lagoonal deposit,,Not reported,25,1,,,,-0.5,3,Mean Sea Level / General definition,25.5,1.802775638,Luminescence,Equal to,BNG10-7,WA16-002-001,OSL,36.8,3.4,,,,,57,29,Equal to,MIS 3,3,4,"Walker et al., 2016",Andrew Cooper,4/8/2020 5:16,,31.7,33.4,35.1,36.8,38.5,40.2,41.9,,36.8,3.4,Recalculation/Report,20.09167309,21.89444872,23.69722436,25.5,27.30277564,29.10555128,30.90832691
RSL_373,-12.61,13.365,"Benguela
Benguela A",Benguela A,Angola,Benguela,Sea Level Indicator,Lagoonal deposit,,Not reported,25,1,,,,-0.5,3,Mean Sea Level / General definition,25.5,1.802775638,Luminescence,Equal to,BNG10-8,WA16-003-001,OSL,47,5.9,,,,,57,29,Equal to,MIS 3,3,4,"Walker et al., 2016",Andrew Cooper,4/8/2020 5:16,,38.15,41.1,44.05,47,49.95,52.9,55.85,,47,5.9,Recalculation/Report,20.09167309,21.89444872,23.69722436,25.5,27.30277564,29.10555128,30.90832691
RSL_373,-12.61,13.365,"Benguela
Benguela A",Benguela A,Angola,Benguela,Sea Level Indicator,Lagoonal deposit,,Not reported,25,1,,,,-0.5,3,Mean Sea Level / General definition,25.5,1.802775638,Luminescence,Equal to,BNG10-9,WA16-004-001,OSL,53.9,6.2,,,,,,,Equal to,,3,4,"Walker et al., 2016",Andrew Cooper,4/8/2020 5:16,,44.6,47.7,50.8,53.9,57,60.1,63.2,,53.9,6.2,Recalculation/Report,20.09167309,21.89444872,23.69722436,25.5,27.30277564,29.10555128,30.90832691
RSL_377,-12.550833,13.439722,"Benguela
Site B",Site B,Angola,Benguela,Sea Level Indicator,Lagoonal deposit,,Not reported,25,1,,,,-0.5,3,Mean Sea Level / General definition,25.5,1.802775638,Luminescence,Equal to,BNG10-10,WA16-005-001,OSL,42.5,3.7,,,,,,,Equal to,,3,4,"Walker et al., 2016",Andrew Cooper,4/8/2020 5:16,,36.95,38.8,40.65,42.5,44.35,46.2,48.05,,42.5,3.7,Recalculation/Report,20.09167309,21.89444872,23.69722436,25.5,27.30277564,29.10555128,30.90832691
RSL_377,-12.550833,13.439722,"Benguela
Site B",Site B,Angola,Benguela,Sea Level Indicator,Lagoonal deposit,,Not reported,25,1,,,,-0.5,3,Mean Sea Level / General definition,25.5,1.802775638,Luminescence,Equal to,BNG10-11,WA16-006-001,OSL,46.8,7.9,,,,,,,Equal to,,3,4,"Walker et al., 2016",Andrew Cooper,4/8/2020 5:16,,34.95,38.9,42.85,46.8,50.75,54.7,58.65,,46.8,7.9,Recalculation/Report,20.09167309,21.89444872,23.69722436,25.5,27.30277564,29.10555128,30.90832691
RSL_379,-12.544166,13.463888,"Benguela
Site C",Site C,Angola,Benguela,Sea Level Indicator,Lagoonal deposit,,Not reported,25,1,,,,-0.5,3,Mean Sea Level / General definition,25.5,1.802775638,Luminescence,Equal to,BNG10-12,WA16-007-001,OSL,44.7,5.6,,,,,,,Equal to,,3,4,"Walker et al., 2016",Andrew Cooper,4/8/2020 5:17,,36.3,39.1,41.9,44.7,47.5,50.3,53.1,,44.7,5.6,Recalculation/Report,20.09167309,21.89444872,23.69722436,25.5,27.30277564,29.10555128,30.90832691
RSL_110,-40.703,-65,"San Antonio Oeste
A-16 Tankstelle (gas station)",A-16 Tankstelle (gas station),Argentina,Rio Negro,Sea Level Indicator,Beach ridge,Described as beach ridges.,Not reported,10,2.8,,,,3.7,0.46,Mean Sea Level / General definition,6.3,2.809430547,U-Series,Equal to,D-1128-b (HD 1618),RA89-004-001,Mollusk or algae,,,,,,,130,71,Older than,MIS 5,2,3,"Rutter et al., 1990
 Radtke, 1989",Evan Gowan,4/28/2020 3:26,71,71.059,72.357,80.381,100.5,120.619,128.643,129.705,130,,,Stratigraphic constraint,-2.128291642,0.681138905,3.490569453,6.3,9.109430547,11.91886109,14.72829164
RSL_110,-40.703,-65,"San Antonio Oeste
A-16 Tankstelle (gas station)",A-16 Tankstelle (gas station),Argentina,Rio Negro,Sea Level Indicator,Beach ridge,Described as beach ridges.,Not reported,10,2.8,,,,3.7,0.46,Mean Sea Level / General definition,6.3,2.809430547,U-Series,Equal to,D-1203-a (HD 1784),RA89-005-001,Mollusk or algae,,,,,,,130,71,Equal to,MIS 5,2,3,"Rutter et al., 1990
 Radtke, 1989",Evan Gowan,4/28/2020 3:26,71,71.059,72.357,80.381,100.5,120.619,128.643,129.705,130,,,Stratigraphic constraint,-2.128291642,0.681138905,3.490569453,6.3,9.109430547,11.91886109,14.72829164
RSL_110,-40.703,-65,"San Antonio Oeste
A-16 Tankstelle (gas station)",A-16 Tankstelle (gas station),Argentina,Rio Negro,Sea Level Indicator,Beach ridge,Described as beach ridges.,Not reported,10,2.8,,,,3.7,0.46,Mean Sea Level / General definition,6.3,2.809430547,ESR,Equal to,D-1128-a,RA89-018-001,,90.2,13.5,,,,,130,71,Equal to,MIS 5,2,3,"Rutter et al., 1990
 Radtke, 1989
 Schellmann and Radtke, 1997",Evan Gowan,4/28/2020 3:26,,69.95,76.7,83.45,90.2,96.95,103.7,110.45,,90.2,13.5,Recalculation/Report,-2.128291642,0.681138905,3.490569453,6.3,9.109430547,11.91886109,14.72829164
RSL_110,-40.703,-65,"San Antonio Oeste
A-16 Tankstelle (gas station)",A-16 Tankstelle (gas station),Argentina,Rio Negro,Sea Level Indicator,Beach ridge,Described as beach ridges.,Not reported,10,2.8,,,,3.7,0.46,Mean Sea Level / General definition,6.3,2.809430547,ESR,Equal to,D-1128-b,RA89-019-001,,185,28,,,,,130,71,Older than,MIS 5,2,3,"Rutter et al., 1990
 Radtke, 1989
 Schellmann and Radtke, 1997",Evan Gowan,4/28/2020 3:26,,143,157,171,185,199,213,227,,185,28,Recalculation/Report,-2.128291642,0.681138905,3.490569453,6.3,9.109430547,11.91886109,14.72829164
RSL_110,-40.703,-65,"San Antonio Oeste
A-16 Tankstelle (gas station)",A-16 Tankstelle (gas station),Argentina,Rio Negro,Sea Level Indicator,Beach ridge,Described as beach ridges.,Not reported,10,2.8,,,,3.7,0.46,Mean Sea Level / General definition,6.3,2.809430547,ESR,Equal to,D-1203-a,RA89-020-001,,111,17,,,,,130,71,Equal to,MIS 5,2,3,"Rutter et al., 1990
 Radtke, 1989
 Schellmann and Radtke, 1997",Evan Gowan,4/28/2020 3:26,,85.5,94,102.5,111,119.5,128,136.5,,111,17,Recalculation/Report,-2.128291642,0.681138905,3.490569453,6.3,9.109430547,11.91886109,14.72829164
RSL_110,-40.703,-65,"San Antonio Oeste
A-16 Tankstelle (gas station)",A-16 Tankstelle (gas station),Argentina,Rio Negro,Sea Level Indicator,Beach ridge,Described as beach ridges.,Not reported,10,2.8,,,,3.7,0.46,Mean Sea Level / General definition,6.3,2.809430547,ESR,Equal to,D-1203-b,RA89-021-001,,96,14,,,,,130,71,Equal to,MIS 5,2,3,"Rutter et al., 1990
 Radtke, 1989
 Schellmann and Radtke, 1997",Evan Gowan,4/28/2020 3:26,,75,82,89,96,103,110,117,,96,14,Recalculation/Report,-2.128291642,0.681138905,3.490569453,6.3,9.109430547,11.91886109,14.72829164
RSL_112,-42.008,-65.084169,"Puerto Lobos
Cordon 3",Cordon 3,Argentina,Chubut,Sea Level Indicator,Beach deposit or beachrock,Beach gravel with shells that are possibly in growth position,Not reported,10,2,,,,1.19,4.31,Mean Sea Level / General definition,8.81,2.940072278,Other age constraint,Older than,Puerto Lobos Cordon 3,,,,,,,,,57,29,Older than,MIS 3,1,0,"Bayarsky and Codignotto 1982
 Albero and Angiolini, 1983",Evan Gowan,4/28/2020 3:27,29,29.028,29.644,33.452,43,52.548,56.356,56.86,57,,,Stratigraphic constraint,-0.010216834,2.929855444,5.869927722,8.81,11.75007228,14.69014456,17.63021683
RSL_113,-42.008,-65.084169,"Puerto Lobos
Cordon 4",Cordon 4,Argentina,Chubut,Sea Level Indicator,Beach deposit or beachrock,Beach gravel with shells that are possibly in growth position,Not reported,8,1.6,,,,1.19,4.31,Mean Sea Level / General definition,6.81,2.684031483,Other age constraint,Equal to,Puerto Lobos Cordon 4,,,,,,,,,57,29,Older than,MIS 3,1,0,"Bayarsky and Codignotto 1982
 Codignotto, 1983
 Albero and Angiolini, 1983",Evan Gowan,1/13/2020 9:48,29,29.028,29.644,33.452,43,52.548,56.356,56.86,57,,,Stratigraphic constraint,-1.242094448,1.441937035,4.125968517,6.81,9.494031483,12.17806297,14.86209445
RSL_116,-53.430844,-68.180118,"Northeastern Tierra del Fuego
Estancia La Sara",Estancia La Sara,Argentina,Tierra del Fuego,Sea Level Indicator,Beach deposit or beachrock,Sandy gravel beach deposit with abundant shells,Not reported,18.5,5,,,,0.98,5.04,Mean Sea Level / General definition,17.52,5.599142792,Other age constraint,Older than,La Sara - Violeta,,,,,,,,,57,29,Older than,MIS 3,1,0,"Codignotto, 1983
 Codignotto, 1984",Evan Gowan,8/18/2020 13:11,29,29.028,29.644,33.452,43,52.548,56.356,56.86,57,,,Stratigraphic constraint,0.722571625,6.321714417,11.92085721,17.52,23.11914279,28.71828558,34.31742837
RSL_116,-53.430844,-68.180118,"Northeastern Tierra del Fuego
Estancia La Sara",Estancia La Sara,Argentina,Tierra del Fuego,Sea Level Indicator,Beach deposit or beachrock,Sandy gravel beach deposit with abundant shells,Not reported,18.5,5,,,,0.98,5.04,Mean Sea Level / General definition,17.52,5.599142792,Other age constraint,Older than,La Sara - MP4,,,,,,,,,57,29,Older than,MIS 3,1,0,"Codignotto, 1983
 Codignotto, 1984",Evan Gowan,8/18/2020 13:11,29,29.028,29.644,33.452,43,52.548,56.356,56.86,57,,,Stratigraphic constraint,0.722571625,6.321714417,11.92085721,17.52,23.11914279,28.71828558,34.31742837
RSL_116,-53.430844,-68.180118,"Northeastern Tierra del Fuego
Estancia La Sara",Estancia La Sara,Argentina,Tierra del Fuego,Sea Level Indicator,Beach deposit or beachrock,Sandy gravel beach deposit with abundant shells,Not reported,18.5,5,,,,0.98,5.04,Mean Sea Level / General definition,17.52,5.599142792,Other age constraint,Older than,La Sara - MP5,,,,,,,,,57,29,Older than,MIS 3,1,0,"Codignotto, 1983
 Codignotto, 1984",Evan Gowan,8/18/2020 13:11,29,29.028,29.644,33.452,43,52.548,56.356,56.86,57,,,Stratigraphic constraint,0.722571625,6.321714417,11.92085721,17.52,23.11914279,28.71828558,34.31742837
RSL_116,-53.430844,-68.180118,"Northeastern Tierra del Fuego
Estancia La Sara",Estancia La Sara,Argentina,Tierra del Fuego,Sea Level Indicator,Beach deposit or beachrock,Sandy gravel beach deposit with abundant shells,Not reported,18.5,5,,,,0.98,5.04,Mean Sea Level / General definition,17.52,5.599142792,Other age constraint,Older than,La Sara - MP6,,,,,,,,,57,29,Older than,MIS 3,1,0,"Codignotto, 1983
 Codignotto, 1984",Evan Gowan,8/18/2020 13:11,29,29.028,29.644,33.452,43,52.548,56.356,56.86,57,,,Stratigraphic constraint,0.722571625,6.321714417,11.92085721,17.52,23.11914279,28.71828558,34.31742837
RSL_117,-46.622024,-67.350619,"Caleta Olivia
Bahia Langara",Bahia Langara,Argentina,Santa Cruz,Sea Level Indicator,Marine Terrace,"Marine terrace, contains gravel deposit with shells in living position.",Barometric altimeter,14.5,3.83,,,,2.17,2.03,Mean Sea Level / General definition,12.33,3.962212135,Other age constraint,Older than,Bahia Langara - Supe,,,,,,,,,57,29,Older than,MIS 3,1,0,"Codignotto, 1983",Evan Gowan,4/28/2020 3:31,29,29.028,29.644,33.452,43,52.548,56.356,56.86,57,,,Stratigraphic constraint,0.443363596,4.405575731,8.367787865,12.33,16.29221213,20.25442427,24.2166364
RSL_117,-46.622024,-67.350619,"Caleta Olivia
Bahia Langara",Bahia Langara,Argentina,Santa Cruz,Sea Level Indicator,Marine Terrace,"Marine terrace, contains gravel deposit with shells in living position.",Barometric altimeter,14.5,3.83,,,,2.17,2.03,Mean Sea Level / General definition,12.33,3.962212135,Other age constraint,Older than,Bahia Langara - I1,,,,,,,,,57,29,Older than,MIS 3,1,0,"Codignotto, 1983",Evan Gowan,4/28/2020 3:31,29,29.028,29.644,33.452,43,52.548,56.356,56.86,57,,,Stratigraphic constraint,0.443363596,4.405575731,8.367787865,12.33,16.29221213,20.25442427,24.2166364
RSL_128,-44.75,-65.72,"Camarones
Camarones North",Camarones North,Argentina,Chubut,Sea Level Indicator,Beach deposit or beachrock,A beach deposit with shells in living position.,Topographic map and digital elevation models,19.5,5.06,,,,0.42,3.96,Mean Sea Level / General definition,19.08,5.433599176,Other age constraint,Equal to,Camarones - North C2,,,,,,,,,57,29,Older than,MIS 3,0,0,"Codignotto, 1983",Evan Gowan,5/11/2020 8:03,29,29.028,29.644,33.452,43,52.548,56.356,56.86,57,,,Stratigraphic constraint,2.779202473,8.212801649,13.64640082,19.08,24.51359918,29.94719835,35.38079753
RSL_128,-44.75,-65.72,"Camarones
Camarones North",Camarones North,Argentina,Chubut,Sea Level Indicator,Beach deposit or beachrock,A beach deposit with shells in living position.,Topographic map and digital elevation models,19.5,5.06,,,,0.42,3.96,Mean Sea Level / General definition,19.08,5.433599176,Other age constraint,Equal to,Camarones - North C3,,,,,,,,,57,29,Older than,MIS 3,0,0,"Codignotto, 1983",Evan Gowan,5/11/2020 8:03,29,29.028,29.644,33.452,43,52.548,56.356,56.86,57,,,Stratigraphic constraint,2.779202473,8.212801649,13.64640082,19.08,24.51359918,29.94719835,35.38079753
RSL_129,-44.82,-65.74,"Camarones
Camarones South",Camarones South,Argentina,Chubut,Sea Level Indicator,Marine Terrace,Described as a marine terrace with shells in living position.,Barometric altimeter,18.5,5.6,,,,0.73,4.58,Mean Sea Level / General definition,17.77,6.05013223,Other age constraint,Older than,Camarones - South CFIN,,,,,,,,,57,29,Older than,MIS 3,0,0,"Codignotto, 1983",Evan Gowan,5/11/2020 8:03,29,29.028,29.644,33.452,43,52.548,56.356,56.86,57,,,Stratigraphic constraint,-0.38039669,5.66973554,11.71986777,17.77,23.82013223,29.87026446,35.92039669
RSL_130,-42.35,-63.65,"Caleta Valdes
",,Argentina,Chubut,Sea Level Indicator,Marine Terrace,Described as a marine terrace with shells in living position.,Barometric altimeter,20,7.1,,,,0.86,4.53,Mean Sea Level / General definition,19.14,7.452531449,Other age constraint,Older than,Caleta Valdes V5,,,,,,,,,57,29,Older than,MIS 3,1,0,"Codignotto, 1983",Evan Gowan,4/28/2020 3:33,29,29.028,29.644,33.452,43,52.548,56.356,56.86,57,,,Stratigraphic constraint,-3.217594347,4.234937102,11.68746855,19.14,26.59253145,34.0450629,41.49759435
RSL_131,-40.6136,-62.277817,"San Blas
Sector A",Sector A,Argentina,Buenos Aires,Sea Level Indicator,Beach ridge,"Three pre-Holocene beach ridges located south of the town of San Blas, all of which have the same elevation. The deposits (beach gravels) were considered to be Pleistocene based on radiocarbon dating, and high amount of carbonate cementation relative to Holocene beaches. The elevations are assumed to be the elevation of the deposit that contained shells, rather than the top of the ridge.",Barometric altimeter,9.5,2.06,,,,3.75,6.5,Mean Sea Level / General definition,5.75,3.84786954,Other age constraint,Older than,San Blas Unidad 3,,,,,,,,,57,29,Older than,MIS 3,1,0,"Trebino, 1987",Evan Gowan,6/3/2020 8:49,29,29.028,29.644,33.452,43,52.548,56.356,56.86,57,,,Stratigraphic constraint,-5.793608621,-1.945739081,1.90213046,5.75,9.59786954,13.44573908,17.29360862
